frame,t,zone,n_obs,status,x,y,theta_deg,dist_plate,car_emblem,door_handle,fuel_cap,license_plate,side_mirror,tail_light
202,6.73,측면,3,track(3),-1.744,-2.576,18.7,,0,2,0,0,1,0
203,6.77,측면,3,track(3),-1.697,-2.593,20.3,,0,2,0,0,1,0
204,6.8,측면,3,track(3),-1.65,-2.61,22.0,,0,2,0,0,1,0
205,6.83,측면,3,track(3),-1.602,-2.625,23.7,,0,2,0,0,1,0
206,6.87,측면,3,track(3),-1.554,-2.637,25.4,,0,2,0,0,1,0
207,6.9,측면,3,track(3),-1.505,-2.648,27.1,,0,2,0,0,1,0
208,6.93,측면,3,track(3),-1.455,-2.655,28.9,,0,2,0,0,1,0
209,6.97,측면,3,track(3),-1.405,-2.66,30.7,,0,2,0,0,1,0
210,7.0,측면,3,track(3),-1.356,-2.662,32.5,,0,2,0,0,1,0
211,7.03,측면,3,track(3),-1.311,-2.661,34.2,,0,2,0,0,1,0
212,7.07,측면,3,track(3),-1.27,-2.658,35.8,,0,2,0,0,1,0
213,7.1,측면,3,track(3),-1.234,-2.654,37.2,,0,2,0,0,1,0
214,7.13,측면,3,track(3),-1.203,-2.65,38.5,,0,2,0,0,1,0
215,7.17,측면,3,track(3),-1.177,-2.645,39.6,,0,2,0,0,1,0
216,7.2,측면,3,track(3),-1.156,-2.64,40.5,,0,2,0,0,1,0
217,7.23,측면,3,track(3),-1.139,-2.636,41.2,,0,2,0,0,1,0
218,7.27,측면,3,track(3),-1.125,-2.633,41.8,,0,2,0,0,1,0
219,7.3,측면,3,track(3),-1.113,-2.629,42.3,,0,2,0,0,1,0
220,7.33,측면,3,track(3),-1.104,-2.626,42.6,,0,2,0,0,1,0
221,7.37,측면,3,track(3),-1.097,-2.624,42.9,,0,2,0,0,1,0
222,7.4,측면,3,track(3),-1.09,-2.622,43.1,,0,2,0,0,1,0
223,7.43,측면,3,track(3),-1.084,-2.62,43.3,,0,2,0,0,1,0
224,7.47,측면,3,track(3),-1.08,-2.619,43.4,,0,2,0,0,1,0
